3581,28,34.6,19639,11,13,11,9,6,2,5,6,18,19,10,16,13,6,9,8,15,12,17,15,10,11,11,5,258
7992,27,35.8,12659,5,6,7,3,4,1,3,5,6,14,8,14,18,15,8,23,11,14,12,16,11,12,10,8,234
10147,32,36.5,9736,6,5,5,3,1,1,3,2,8,6,5,2,7,8,3,5,7,10,9,7,6,6,4,6,125
6137,33,33.4,22560,4,6,3,1,2,1,2,7,10,14,12,15,13,2,9,4,14,15,7,10,11,9,7,3,181
8487,47,35.2,28457,4,4,9,2,1,0,1,6,6,8,12,7,11,7,5,1,9,10,11,8,6,7,7,5,147
30062,34,37.1,12700,6,5,7,2,4,2,1,5,11,12,15,8,11,8,5,14,13,15,7,15,10,11,9,10,206
5192,40,32.7,24110,4,6,5,3,6,3,0,2,7,13,16,8,10,7,8,10,14,8,11,11,9,11,5,8,185
2719,44,44.6,15216,1,2,0,2,2,1,0,1,4,3,3,3,3,2,3,5,5,2,1,3,0,3,4,5,58
2364,38,36.1,12612,1,3,2,3,1,0,1,6,9,4,5,5,5,4,3,5,10,9,9,13,2,6,4,4,114
6697,43,43.5,11327,1,0,1,1,1,0,0,2,2,3,5,6,1,7,3,5,6,5,3,9,5,4,2,1,73
24160,41,37.7,1216,2,4,3,1,0,1,0,1,3,3,3,4,6,6,6,3,5,6,4,5,5,0,0,3,74
15728,57,39.5,5398,1,1,2,0,0,2,0,2,2,2,3,2,4,5,2,5,7,3,4,0,4,2,2,0,55
